Rank,Title,Singer,Album
1,바라만 본다,MSG워너비(M.O.M),MSG워너비 1집
2,Next Level,aespa,Next Level
3,나를 아는 사람,MSG워너비(정상동기),MSG워너비 1집
4,Butter,방탄소년단,Butter
5,헤픈 우연,헤이즈 (Heize),HAPPEN
6,치맛바람 (Chi Mat Ba Ram),브레이브걸스,Summer Queen
7,Dun Dun Dance,오마이걸 (OH MY GIRL),Dear OHMYGIRL
8,Peaches (Feat. Daniel Caesar & Giveon),Justin Bieber,Justice
9,신호등,이무진,신호등
10,롤린 (Rollin'),브레이브걸스,Rollin'
11,Alcohol-Free,TWICE (트와이스),Taste of Love
12,라일락,아이유,IU 5th Album 'LILAC'
13,ASAP,STAYC(스테이씨),STAYDOM
14,안녕 (Hello),조이 (JOY),안녕 (Hello) - Special Album
15,비와 당신,이무진,슬기로운 의사생활 시즌2 OST Part 1
16,운전만해 (We Ride),브레이브걸스,We Ride
17,Dynamite,방탄소년단,Dynamite (DayTime Version)
18,Celebrity,아이유,IU 5th Album 'LILAC'
19,상상더하기,"MSG워너비 TOP 8 (별루지, 김정수, 강창모, 정기석, 이동휘, 이상이, 박재정, 원슈타인)",MSG워너비 TOP 8 경연곡
20,하루만 더,빅마마,하루만 더
21,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)",호미들,사이렌 Remix
22,러브(Prod.로코베리),로꼬,Love(Prod.Rocoberry)
23,Timeless,SG 워너비,Sg Wanna Be+
24,비 오는 날 듣기 좋은 노래 (Feat. Colde),에픽하이 (EPIK HIGH),비 오는 날 듣기 좋은 노래
25,상상더하기,라붐 (LABOUM),Fresh Adventure
26,내 손을 잡아,아이유,최고의 사랑 OST Part.4
27,멜로디,ASH ISLAND,멜로디
28,밝게 빛나는 별이 되어 비춰줄게,송이한,밝게 빛나는 별이 되어 비춰줄게
29,밤하늘의 별을(2020),경서,밤하늘의 별을(2020)
30,라라라,SG 워너비,My Friend
31,마.피.아. In the morning,ITZY (있지),GUESS WHO
32,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)",양요섭,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)"
33,Savage Love (Laxed - Siren Beat) (BTS Remix),Jawsh 685,Savage Love (Laxed - Siren Beat) [BTS Remix]
34,Lovesick Girls,BLACKPINK,THE ALBUM
35,잠이 오질 않네요,장범준,잠이 오질 않네요
36,Dolphin,오마이걸 (OH MY GIRL),NONSTOP
37,에잇(Prod.&Feat. SUGA of BTS),아이유,에잇
38,추억은 만남보다 이별에 남아,정동하,추억은 만남보다 이별에 남아
39,Coin,아이유,IU 5th Album 'LILAC'
40,취기를 빌려 (취향저격 그녀 X 산들),산들,취기를 빌려 (취향저격 그녀 X 산들)
41,Blueming,아이유,Love poem
42,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악동뮤지션),항해
43,내사람,SG 워너비,The Precious History
44,작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey),방탄소년단,MAP OF THE SOUL : PERSONA
45,On The Ground,로제 (ROSÉ),R
46,Off My Face,Justin Bieber,Justice
47,아로하,조정석,슬기로운 의사생활 OST Part 3
48,VVS (Feat. JUSTHIS) (Prod. GroovyRoom),미란이 (Mirani),쇼미더머니 9 Episode 1
49,어푸 (Ah puh),아이유,IU 5th Album 'LILAC'
50,그날에 나는 맘이 편했을까,이예준,그날에 나는 맘이 편했을까
51,가을 우체국 앞에서,김대명,슬기로운 의사생활 시즌2 OST Part 2
52,나랑 같이 걸을래 (바른연애 길잡이 X 적재),적재,나랑 같이 걸을래 (바른연애 길잡이 X 적재)
53,다정히 내 이름을 부르면,경서예지,다정히 내 이름을 부르면 (경서예지 x 전건호)
54,2002,Anne-Marie,Speak Your Mind (Deluxe)
55,12:45 (Stripped),Etham,12:45 (Stripped)
56,Life Goes On,방탄소년단,BE
57,체념,MSG워너비(정상동기),MSG워너비 TOP 8 경연곡
58,허리춤,오반 (OVAN),허리춤
59,METEOR,창모 (CHANGMO),Boyhood
60,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준,멜로가 체질 OST Part 3
61,봄날,방탄소년단,YOU NEVER WALK ALONE
62,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part.3
63,해야 해,2PM,MUST
64,추적이는 여름 비가 되어,장범준,장범준 싱글
65,너의 번호를 누르고 (Prod. 영화처럼),#안녕,너의 번호를 누르고
66,오래된 노래,스탠딩 에그,오래된 노래
67,어떻게 지내 (Prod. By VAN.C),오반 (OVAN),어떻게 지내
68,그냥 안아달란 말야,다비치,그냥 안아달란 말야
69,살짝 설렜어 (Nonstop),오마이걸 (OH MY GIRL),NONSTOP
70,Memories,Maroon 5,JORDI (Deluxe)
71,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB),Red Moon : To You My Light
72,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM),10CM,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM)
73,사실 나는 (Feat.전건호),경서예지,사실 나는
74,늦은 밤 너의 집 앞 골목길에서,노을,늦은 밤 너의 집 앞 골목길에서
75,Hello Future,NCT DREAM,Hello Future - The 1st Album Repackage
76,How You Like That,BLACKPINK,How You Like That
77,오늘따라 더 미운 그대가,전상근,오늘따라 더 미운 그대가
78,힘든 건 사랑이 아니다,임창정,힘든 건 사랑이 아니다
79,이렇게 좋아해 본 적이 없어요,CHEEZE (치즈),이렇게 좋아해 본 적이 없어요 (소녀의 세계 X CHEEZE(치즈))
80,너의 발걸음에 빛을 비춰줄게 (Prod. 조영수),케이시 (Kassy),너의 발걸음에 빛을 비춰줄게 (Prod. 조영수)
81,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡
82,Dance Monkey,Tones And I,The Kids Are Coming
83,살다가,SG 워너비,살다가
84,마음을 드려요,아이유,사랑의 불시착 OST Part 11
85,나는 너 좋아,장범준,슬기로운 의사생활 시즌2 OST Part 3
86,Paris In The Rain,Lauv,I met you when I was 18. (the playlist)
87,너를 만나,폴킴,너를 만나
88,아이와 나의 바다,아이유,IU 5th Album 'LILAC'
89,Love poem,아이유,Love poem
90,우린 어쩌다 헤어진 걸까,허각,Hello
91,내 마음이 움찔했던 순간 (취향저격 그녀 X 규현),규현 (KYUHYUN),내 마음이 움찔했던 순간 (취향저격 그녀 X 규현)
92,우리 왜 헤어져야 해,신예영,우리 왜 헤어져야 해
93,맛 (Hot Sauce),NCT DREAM,맛 (Hot Sauce) - The 1st Album
94,함께 했는데 이별은 나 혼자인 거야,소정 (레이디스 코드),함께 했는데 이별은 나 혼자인 거야
95,Way Back Home (2021),런치,Way Back Home (2021)
96,시작,가호 (Gaho),이태원 클라쓰 OST Part.2
97,안녕,폴킴,호텔 델루나 OST Part.10
98,Don't Start Now,Dua Lipa,Future Nostalgia
99,Downtown Baby,블루 (BLOO),Downtown Baby
100,고백 (바른연애 길잡이 X 허각),허각,고백 (바른연애 길잡이 X 허각)
